accepted,action,attack_extra_path_length,attack_induced_path_change,attack_route_penalty,attack_type,changed,claim,confirmed_weight,contradicted_weight,delivery_cycle_duration_steps,delivery_number,evidence_after,evidence_before,goal,is_malicious,kind,loaded_delivery_duration_steps,method,new_path_cost,new_path_length,new_trust,observation_age,old_path_cost,old_path_length,old_trust,operational_weight,operationally_ignored,outcome,path,phase,position,probability_after,probability_before,reason,recipient_id,report_id,report_ids,robot_id,scenario_event_id,sender_id,sensor_confidence,source_memory,step,target_cell,validated_reports,with_attacker_path_length,without_attacker_path_length
,,,,,,True,,,,,,,,,,replan,,source_memory,92.0,34,,,,0,,,,,"[(7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (19, 8), (20, 8), (20, 9), (21, 9), (22, 9), (23, 9), (24, 9), (25, 9), (25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (26, 2), (27, 2), (28, 2), (29, 2), (30, 2), (31, 2), (32, 2)]",,,,,path_invalid_or_empty,,,,0,,,,,0,,,,
,,,,,,True,,,,,,,,,,replan,,source_memory,101.0,37,,,,0,,,,,"[(27, 41), (26, 41), (25, 41), (25, 40), (24, 40), (23, 40), (22, 40), (21, 40), (20, 40), (19, 40), (18, 40), (17, 40), (16, 40), (15, 40), (14, 40), (13, 40), (12, 40), (12, 41), (11, 41), (10, 41), (9, 41), (8, 41), (7, 41), (6, 41), (5, 41), (4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,path_invalid_or_empty,,,,1,,,,,0,,,,
,,,,,,True,,,,,,,,,,replan,,source_memory,32.0,14,,,,0,,,,,"[(6, 41), (5, 41), (4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,path_invalid_or_empty,,,,2,,,,,0,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(7, 8)",,,,,,,0,,,,,0,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(27, 41)",,,,,,,1,,,,,0,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(6, 41)",,,,,,,2,,,,,0,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(8, 8)",,,,,,,0,,,,,1,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(26, 41)",,,,,,,1,,,,,1,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(5, 41)",,,,,,,2,,,,,1,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(9, 8)",,,,,,,0,,,,,2,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(25, 41)",,,,,,,1,,,,,2,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(4, 41)",,,,,,,2,,,,,2,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(10, 8)",,,,,,,0,,,,,3,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(25, 40)",,,,,,,1,,,,,3,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 41)",,,,,,,2,,,,,3,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(11, 8)",,,,,,,0,,,,,4,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(24, 40)",,,,,,,1,,,,,4,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 42)",,,,,,,2,,,,,4,,,,
,,,,,,True,,,,,,,,,,replan,,source_memory,88.0,32,,,inf,32,,,,,"[(23, 40), (22, 40), (21, 40), (20, 40), (20, 41), (19, 41), (18, 41), (17, 41), (16, 41), (15, 41), (14, 41), (13, 41), (12, 41), (11, 41), (10, 41), (9, 41), (8, 41), (7, 41), (6, 41), (5, 41), (4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,temporary_physical_obstacle_on_route,,,,1,,,,,5,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(12, 8)",,,,,,,0,,,,,5,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(23, 40)",,,,,,,1,,,,,5,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 43)",,,,,,,2,,,,,5,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(13, 8)",,,,,,,0,,,,,6,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(22, 40)",,,,,,,1,,,,,6,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 44)",,,,,,,2,,,,,6,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(14, 8)",,,,,,,0,,,,,7,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(21, 40)",,,,,,,1,,,,,7,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 45)",,,,,,,2,,,,,7,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(15, 8)",,,,,,,0,,,,,8,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(20, 40)",,,,,,,1,,,,,8,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 46)",,,,,,,2,,,,,8,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(16, 8)",,,,,,,0,,,,,9,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(20, 41)",,,,,,,1,,,,,9,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 47)",,,,,,,2,,,,,9,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(17, 8)",,,,,,,0,,,,,10,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(19, 41)",,,,,,,1,,,,,10,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 48)",,,,,,,2,,,,,10,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(18, 8)",,,,,,,0,,,,,11,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(18, 41)",,,,,,,1,,,,,11,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 49)",,,,,,,2,,,,,11,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(19, 8)",,,,,,,0,,,,,12,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(17, 41)",,,,,,,1,,,,,12,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 50)",,,,,,,2,,,,,12,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(20, 8)",,,,,,,0,,,,,13,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(16, 41)",,,,,,,1,,,,,13,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(2, 50)",,,,,,,2,,,,,13,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(20, 9)",,,,,,,0,,,,,14,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(15, 41)",,,,,,,1,,,,,14,,,,
,,,,,,True,,,,,,,,,,replan,,source_memory,110.11222394552638,48,,,,0,,,,,"[(3, 50), (3, 49), (4, 49), (4, 48), (5, 48), (5, 47), (5, 46), (6, 46), (7, 46), (7, 45), (7, 44), (7, 43), (7, 42), (7, 41), (7, 40), (7, 39), (8, 39), (8, 38), (9, 38), (9, 37), (10, 37), (10, 36), (10, 35), (10, 34), (10, 33), (10, 32), (10, 31), (10, 30), (10, 29), (10, 28), (10, 27), (10, 26), (10, 25), (10, 24), (10, 23), (10, 22), (10, 21), (10, 20), (11, 20), (12, 20), (13, 20), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (14, 15), (13, 15)]",,,,,task_transition,,,,2,,,,,14,,,,
,task_transition,,,,,,,,,,,,,"(13, 15)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(2, 50)",,,,,,,2,,,,,14,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(21, 9)",,,,,,,0,,,,,15,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(14, 41)",,,,,,,1,,,,,15,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 50)",,,,,,,2,,,,,15,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(22, 9)",,,,,,,0,,,,,16,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(13, 41)",,,,,,,1,,,,,16,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(3, 49)",,,,,,,2,,,,,16,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(23, 9)",,,,,,,0,,,,,17,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(12, 41)",,,,,,,1,,,,,17,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(4, 49)",,,,,,,2,,,,,17,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(24, 9)",,,,,,,0,,,,,18,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(11, 41)",,,,,,,1,,,,,18,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,source_memory,,,,,,,,,,,,RECONNAISSANCE,"(4, 48)",,,,,,,2,,,,,18,,,,
