baseline_method,ci95_difference_high,ci95_difference_low,direction,focal_method,improvement_ci95_high,improvement_ci95_low,improvement_difference,mean_difference,metric,n_pairs,sample_std_difference,sem_difference
majority_vote,6.319281034275,-4.819281034275,higher_better,source_memory,6.319281034275,-4.819281034275,0.75,0.75,benign_total_deliveries_completed,4,3.5,1.75
majority_vote,6.319281034275,-4.819281034275,higher_better,source_memory,6.319281034275,-4.819281034275,0.75,0.75,benign_deliveries_after_attack,4,3.5,1.75
majority_vote,7.9688185248139165,-3.4688185248139165,higher_better,source_memory,7.9688185248139165,-3.4688185248139165,2.25,2.25,benign_deliveries_after_distrust,4,3.593976442141304,1.796988221070652
majority_vote,0.03159640517137503,-0.024096405171375023,higher_better,source_memory,0.03159640517137503,-0.024096405171375023,0.0037500000000000033,0.0037500000000000033,benign_success_rate,4,0.017500000000000016,0.008750000000000008
majority_vote,2.5277124137099984,-1.927712413709997,higher_better,source_memory,2.5277124137099984,-1.927712413709997,0.3000000000000007,0.3000000000000007,deliveries_per_1000_steps,4,1.3999999999999986,0.6999999999999993
majority_vote,248.09116354294378,-351.0911635429438,lower_better,source_memory,351.0911635429438,-248.09116354294378,51.5,-51.5,benign_no_path_steps,4,188.2772777935068,94.1386388967534
majority_vote,4.5262239546124095,-5.492674171062629,lower_better,source_memory,5.492674171062629,-4.5262239546124095,0.4832251082251098,-0.4832251082251098,distance_per_delivery,4,3.1481750717960932,1.5740875358980466
majority_vote,6.489668598082028,-10.00789611130955,lower_better,source_memory,10.00789611130955,-6.489668598082028,1.7591137566137611,-1.7591137566137611,benign_delivery_cycle_duration_mean_steps,4,5.1839255486940266,2.5919627743470133
majority_vote,6.261723254107051,-7.011723254107051,lower_better,source_memory,7.011723254107051,-6.261723254107051,0.375,-0.375,benign_delivery_cycle_duration_median_steps,4,4.170831252080733,2.0854156260403665
majority_vote,9.598782939895528,-14.373782939895499,lower_better,source_memory,14.373782939895499,-9.598782939895528,2.387499999999985,-2.387499999999985,benign_delivery_cycle_duration_p95_steps,4,7.53274794923247,3.766373974616235
majority_vote,6.315882298045151,-9.099435689098543,lower_better,source_memory,9.099435689098543,-6.315882298045151,1.391776695526696,-1.391776695526696,benign_loaded_delivery_duration_mean_steps,4,4.843857997374927,2.4219289986874637
majority_vote,0.015944713983897074,-5.015944713983897,lower_better,source_memory,5.015944713983897,-0.015944713983897074,2.5,-2.5,benign_loaded_delivery_duration_median_steps,4,1.5811388300841898,0.7905694150420949
majority_vote,3.633766611839151,-4.183766611839156,lower_better,source_memory,4.183766611839156,-3.633766611839151,0.27500000000000213,-0.27500000000000213,benign_loaded_delivery_duration_p95_steps,4,2.4564540839727913,1.2282270419863957
majority_vote,341.5488019627674,-253.5488019627674,lower_better,source_memory,253.5488019627674,-341.5488019627674,-44.0,44.0,benign_total_distance,4,186.9937610367433,93.49688051837165
majority_vote,274.08095682841093,-356.58095682841093,lower_better,source_memory,356.58095682841093,-274.08095682841093,41.25,-41.25,benign_planning_checks,4,198.1689094350238,99.0844547175119
majority_vote,40.299603572164656,-47.299603572164656,lower_better,source_memory,47.299603572164656,-40.299603572164656,3.5,-3.5,benign_path_changes,4,27.525745524266306,13.762872762133153
majority_vote,36.67648211817058,-67.17648211817058,diagnostic,source_memory,,,,-15.25,temporary_obstacle_replan_checks,4,32.633060945407294,16.316530472703647
majority_vote,36.67648211817058,-67.17648211817058,diagnostic,source_memory,,,,-15.25,temporary_obstacle_path_changes,4,32.633060945407294,16.316530472703647
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_replan_checks,4,0.0,0.0
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_path_changes,4,0.0,0.0
majority_vote,0.7783078589487591,-6.278307858948759,lower_better,source_memory,6.278307858948759,-0.7783078589487591,2.75,-2.75,malicious_report_replan_checks,4,2.217355782608345,1.1086778913041726
majority_vote,0.2503293632397039,-4.250329363239704,lower_better,source_memory,4.250329363239704,-0.2503293632397039,2.0,-2.0,malicious_report_path_changes,4,1.4142135623730951,0.7071067811865476
majority_vote,0.7621368138715692,-5.262136813871569,lower_better,source_memory,5.262136813871569,-0.7621368138715692,2.25,-2.25,fake_obstacle_replan_checks,4,1.8929694486000912,0.9464847243000456
majority_vote,1.250329363239704,-3.250329363239704,lower_better,source_memory,3.250329363239704,-1.250329363239704,1.0,-1.0,fake_obstacle_path_changes,4,1.4142135623730951,0.7071067811865476
majority_vote,1.045611576325,-0.545611576325,lower_better,source_memory,0.545611576325,-1.045611576325,-0.25,0.25,false_clearance_replan_checks,4,0.5,0.25
majority_vote,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_path_changes,4,0.0,0.0
majority_vote,0.045611576325000014,-1.545611576325,lower_better,source_memory,1.545611576325,-0.045611576325000014,0.75,-0.75,stale_reassertion_replan_checks,4,0.5,0.25
majority_vote,-1.0,-1.0,lower_better,source_memory,1.0,1.0,1.0,-1.0,stale_reassertion_path_changes,4,0.0,0.0
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,benign_blocked_moves,4,0.0,0.0
majority_vote,1.174428504203054,-1.5143900241645742,lower_better,source_memory,1.5143900241645742,-1.174428504203054,0.16998075998076012,-0.16998075998076012,replans_per_delivery,4,0.84489046174627,0.422445230873135
majority_vote,0.34195589375321594,-0.1308123151096373,lower_better,source_memory,0.1308123151096373,-0.34195589375321594,-0.10557178932178932,0.10557178932178932,traffic_waits_per_delivery,4,0.1485549679425893,0.07427748397129465
