accepted,action,attack_extra_path_length,attack_induced_path_change,attack_route_penalty,attack_type,changed,claim,confirmed_weight,contradicted_weight,delivery_cycle_duration_steps,delivery_number,evidence_after,evidence_before,goal,is_malicious,kind,loaded_delivery_duration_steps,method,new_path_cost,new_path_length,new_trust,observation_age,old_path_cost,old_path_length,old_trust,operational_weight,operationally_ignored,outcome,path,phase,position,probability_after,probability_before,reason,recipient_id,report_id,report_ids,robot_id,scenario_event_id,sender_id,sensor_confidence,source_memory,step,target_cell,validated_reports,with_attacker_path_length,without_attacker_path_length
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 46)",,,,,,,2,,,,,7,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(8, 8)",,,,,,,0,,,,,8,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(20, 40)",,,,,,,1,,,,,8,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 47)",,,,,,,2,,,,,8,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(9, 8)",,,,,,,0,,,,,9,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(19, 40)",,,,,,,1,,,,,9,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 48)",,,,,,,2,,,,,9,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 8)",,,,,,,0,,,,,10,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(18, 40)",,,,,,,1,,,,,10,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 49)",,,,,,,2,,,,,10,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(11, 8)",,,,,,,0,,,,,11,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(17, 40)",,,,,,,1,,,,,11,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 50)",,,,,,,2,,,,,11,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 8)",,,,,,,0,,,,,12,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 40)",,,,,,,1,,,,,12,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(11, 50)",,,,,,,2,,,,,12,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 8)",,,,,,,0,,,,,13,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(15, 40)",,,,,,,1,,,,,13,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 50)",,,,,,,2,,,,,13,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 9)",,,,,,,0,,,,,14,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 40)",,,,,,,1,,,,,14,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 50)",,,,,,,2,,,,,14,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 10)",,,,,,,0,,,,,15,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 40)",,,,,,,1,,,,,15,,,,
,move,,,,,,,,,,,,,"(14, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 50)",,,,,,,2,,,,,15,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 11)",,,,,,,0,,,,,16,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 40)",,,,,,,1,,,,,16,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,71.37849772825675,35,,,,0,,,,,"[(13, 50), (12, 50), (12, 49), (12, 48), (12, 47), (12, 46), (11, 46), (10, 46), (9, 46), (9, 45), (9, 44), (9, 43), (9, 42), (9, 41), (8, 41), (7, 41), (6, 41), (5, 41), (5, 40), (4, 40), (3, 40), (3, 39), (3, 38), (3, 37), (3, 36), (3, 35), (3, 34), (3, 33), (3, 32), (3, 31), (3, 30), (3, 29), (3, 28), (3, 27), (2, 27)]",,,,,task_transition,,,,2,,,,,16,,,,
,task_transition,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 50)",,,,,,,2,,,,,16,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 12)",,,,,,,0,,,,,17,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 41)",,,,,,,1,,,,,17,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 50)",,,,,,,2,,,,,17,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 13)",,,,,,,0,,,,,18,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(11, 41)",,,,,,,1,,,,,18,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 50)",,,,,,,2,,,,,18,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 14)",,,,,,,0,,,,,19,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 41)",,,,,,,1,,,,,19,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 49)",,,,,,,2,,,,,19,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 15)",,,,,,,0,,,,,20,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(9, 41)",,,,,,,1,,,,,20,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 48)",,,,,,,2,,,,,20,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 15)",,,,,,,0,,,,,21,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(8, 41)",,,,,,,1,,,,,21,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 47)",,,,,,,2,,,,,21,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,119.0,43,,,inf,41,,,,,"[(14, 16), (14, 17), (14, 18), (14, 19), (15, 19), (15, 20), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (10, 21), (9, 21), (8, 21), (7, 21), (6, 21), (5, 21), (4, 21), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25), (3, 26), (3, 27), (3, 28), (3, 29), (3, 30), (3, 31), (3, 32), (3, 33), (3, 34), (3, 35), (3, 36), (3, 37), (3, 38), (3, 39), (3, 40), (3, 41), (3, 42), (3, 43), (3, 44), (2, 44)]",,,,,temporary_physical_obstacle_on_route,,,,0,,,,,22,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 16)",,,,,,,0,,,,,22,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 41)",,,,,,,1,,,,,22,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 46)",,,,,,,2,,,,,22,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,120.0,44,,,inf,42,,,,,"[(14, 17), (14, 18), (14, 19), (15, 19), (16, 19), (16, 20), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (10, 21), (9, 21), (8, 21), (7, 21), (6, 21), (5, 21), (4, 21), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25), (3, 26), (3, 27), (3, 28), (3, 29), (3, 30), (3, 31), (3, 32), (3, 33), (3, 34), (3, 35), (3, 36), (3, 37), (3, 38), (3, 39), (3, 40), (3, 41), (3, 42), (3, 43), (3, 44), (2, 44)]",,,,,temporary_physical_obstacle_on_route,,,,0,,,,,23,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 17)",,,,,,,0,,,,,23,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(6, 41)",,,,,,,1,,,,,23,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(11, 46)",,,,,,,2,,,,,23,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 18)",,,,,,,0,,,,,24,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 41)",,,,,,,1,,,,,24,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 46)",,,,,,,2,,,,,24,,,,
,,,,,,False,,,,,,,,,,replan,,full_trust,116.0,42,,,116.0,42,,,,,"[(14, 19), (15, 19), (16, 19), (16, 20), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (10, 21), (9, 21), (8, 21), (7, 21), (6, 21), (5, 21), (4, 21), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25), (3, 26), (3, 27), (3, 28), (3, 29), (3, 30), (3, 31), (3, 32), (3, 33), (3, 34), (3, 35), (3, 36), (3, 37), (3, 38), (3, 39), (3, 40), (3, 41), (3, 42), (3, 43), (3, 44), (2, 44)]",,,,,periodic_route_optimization,,,,0,,,,,25,,,,
,,,,,,False,,,,,,,,,,replan,,full_trust,6.0,6,,,6.0,6,,,,,"[(4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (2, 44)]",,,,,periodic_route_optimization,,,,1,,,,,25,,,,
