ci95_high,ci95_low,direction,max,mean,median,method,metric,min,n,n_missing,sample_std,sem,unit
2500.196222301,-1375.196222301,diagnostic,715.0,562.5,562.5,latest_report,time_to_distrust_malicious_robot,410.0,2,0,215.667568261897,152.5,steps
5741.623311673,-3978.623311673,diagnostic,1264.0,881.5,881.5,latest_report,time_to_all_benign_distrust,499.0,2,0,540.9366876077089,382.5,steps
2.0,2.0,higher_better,2.0,2.0,2.0,latest_report,distrusted_benign_robot_count,2.0,2,0,0.0,0.0,robots
0.21753344295288776,-0.08363993271129108,diagnostic,0.07879818447803964,0.06694675512079834,0.06694675512079834,latest_report,attacker_min_trust_mean,0.05509532576355704,2,0,0.0167604521305173,0.011851429357241301,trust
1.2686088573086627,0.42327388446492964,diagnostic,0.8792060234868786,0.8459413708867962,0.8459413708867962,latest_report,final_attacker_trust_mean,0.812676718286714,2,0,0.047043322854665864,0.03326465260008232,trust
120.50274025939999,-95.50274025939999,higher_better,21.0,12.5,12.5,latest_report,malicious_reports_operationally_ignored,4.0,2,0,12.020815280171307,8.499999999999998,reports
10.8531023682,-1.8531023682,lower_better,5.0,4.5,4.5,latest_report,attack_induced_path_changes,4.0,2,0,0.7071067811865476,0.5,attacks
6.482024841528825,-3.322639088477408,lower_better,1.9655147695854986,1.5796928765257086,1.5796928765257086,latest_report,attack_route_penalty_mean,1.1938709834659187,2,0,0.5456345538256169,0.3858218930597899,cost
427.15137145482635,-341.38414068771993,lower_better,73.12614366349233,42.88361538355323,42.88361538355323,latest_report,attack_route_penalty_max,12.641087103614126,2,0,42.76939365394175,30.2425282799391,cost
280.7503651422228,-162.30980470708116,lower_better,76.65507601383445,59.2202802175708,59.2202802175708,latest_report,attack_route_penalty_total,41.78548442130715,2,0,24.656524672281474,17.434795796263646,cost
2.5449788027032967,-1.6438799016043955,lower_better,0.6153846153846154,0.45054945054945056,0.45054945054945056,latest_report,attack_extra_path_length_mean,0.2857142857142857,2,0,0.23311212566589481,0.16483516483516483,cells
141.062047364,-113.062047364,lower_better,24.0,14.0,14.0,latest_report,attack_extra_path_length_max,4.0,2,0,14.142135623730951,10.0,cells
105.94343315479999,-71.94343315479999,lower_better,24.0,17.0,17.0,latest_report,attack_extra_path_length_total,10.0,2,0,9.899494936611665,6.999999999999999,cells
354.0337639414,10.966236058600003,lower_better,196.0,182.5,182.5,latest_report,steps_route_affected_by_attacker,169.0,2,0,19.091883092036785,13.5,steps
0.473968261401281,0.3702485510272444,diagnostic,0.4261898653330862,0.4221084062142627,0.4221084062142627,latest_report,recovery_start_attacker_trust_mean,0.4180269470954392,2,0,0.005772054840111558,0.004081459118823516,trust
0.7641610813380117,0.07905729813375972,diagnostic,0.4485686082804967,0.42160918973588574,0.42160918973588574,latest_report,recovery_trust_gain,0.39464977119127476,2,0,0.03812637533948157,0.026959418544610977,trust
11.8531023682,-0.8531023682000001,higher_better,6.0,5.5,5.5,latest_report,deliveries_during_recon,5.0,2,0,0.7071067811865476,0.5,deliveries
70.265511841,6.734488159000001,higher_better,41.0,38.5,38.5,latest_report,deliveries_during_attack,36.0,2,0,3.5355339059327378,2.5,deliveries
17.8531023682,5.1468976318,higher_better,12.0,11.5,11.5,latest_report,deliveries_during_recovery,11.0,2,0,0.7071067811865476,0.5,deliveries
13.8531023682,1.1468976318,lower_better,8.0,7.5,7.5,latest_report,traffic_wait_steps_during_attack,7.0,2,0,0.7071067811865476,0.5,steps
95.8531023682,83.1468976318,lower_better,90.0,89.5,89.5,latest_report,replans_during_attack,89.0,2,0,0.7071067811865476,0.5,replans
3.2918232530394116,0.04052968813705893,lower_better,1.7941176470588236,1.6661764705882354,1.6661764705882354,latest_report,mean_influential_fake_cells_during_attack,1.5382352941176471,2,0,0.1809361469506754,0.12794117647058822,cells
3.2918232530394116,0.04052968813705893,lower_better,1.7941176470588236,1.6661764705882354,1.6661764705882354,latest_report,attack_mean_influential_fake_cells,1.5382352941176471,2,0,0.1809361469506754,0.12794117647058822,cells
0.12915414550823529,-0.02033061609647059,lower_better,0.060294117647058824,0.054411764705882354,0.054411764705882354,latest_report,attack_fraction_samples_influenced,0.04852941176470588,2,0,0.00831890330807703,0.0058823529411764705,ratio
1.2296214435587924,-0.2583962885150038,lower_better,0.5441673451706088,0.4856125775218943,0.4856125775218943,latest_report,attack_mean_attacker_route_cost,0.42705780987317976,2,0,0.08280894655041744,0.058554767648714534,cost
0.12915414550823529,-0.02033061609647059,lower_better,0.060294117647058824,0.054411764705882354,0.054411764705882354,latest_report,attack_fraction_route_affected,0.04852941176470588,2,0,0.00831890330807703,0.0058823529411764705,ratio
106.8248189456,5.175181054399999,higher_better,60.0,56.0,56.0,majority_vote,benign_total_deliveries_completed,52.0,2,0,5.656854249492381,4.0,deliveries
94.9717165774,6.028283422600005,higher_better,54.0,50.5,50.5,majority_vote,benign_deliveries_after_attack,47.0,2,0,4.949747468305833,3.4999999999999996,deliveries
