attack_extra_path_length_max,attack_extra_path_length_mean,attack_extra_path_length_total,attack_induced_path_changes,attack_route_penalty_max,attack_route_penalty_mean,attack_route_penalty_total,benign_blocked_moves,benign_delivery_cycle_duration_mean_steps,benign_delivery_cycle_duration_median_steps,benign_delivery_cycle_duration_p95_steps,benign_loaded_delivery_duration_mean_steps,benign_loaded_delivery_duration_median_steps,benign_loaded_delivery_duration_p95_steps,benign_no_path_steps,benign_path_changes,benign_planning_checks,benign_total_deliveries_completed,benign_total_distance,distance_per_delivery,fake_obstacle_path_changes,fake_obstacle_replan_checks,false_clearance_path_changes,false_clearance_replan_checks,malicious_report_path_changes,malicious_report_replan_checks,malicious_reports_operationally_ignored,method,robot_on_route_path_changes,robot_on_route_replan_checks,seed_count,stale_reassertion_path_changes,stale_reassertion_replan_checks,steps_route_affected_by_attacker,temporary_obstacle_path_changes,temporary_obstacle_replan_checks,time_to_distrust_malicious_robot
24.0,0.45054945054945056,17.0,4.5,73.12614366349233,1.5796928765257086,59.2202802175708,0.0,88.998370273794,84.5,128.64999999999998,45.94507822685789,48.5,64.5,190.0,242.0,576.0,55.5,4675.0,84.36636245110822,3.0,3.0,0.0,0.0,4.5,4.5,12.5,latest_report,0.0,0.0,2,1.5,1.5,182.5,21.0,21.0,562.5
4.0,0.14285714285714285,5.0,5.5,9.559479964327664,0.472801679397093,17.01972157627933,0.0,88.63589743589743,85.0,127.625,45.88782051282051,49.75,64.69999999999999,185.0,250.0,586.5,56.0,4683.0,83.83076923076923,4.0,4.0,0.0,0.0,5.0,5.0,0.0,majority_vote,0.0,0.0,2,1.0,1.0,143.0,24.5,24.5,560.0
12.0,0.4336996336996337,16.0,7.5,39.98029286763288,1.7151552603763665,64.04402307719717,0.0,85.9969696969697,85.75,123.35,46.41212121212121,50.0,64.75,0.5,248.0,409.0,57.5,4855.5,84.6060606060606,5.5,6.0,0.0,0.0,6.5,7.0,0.0,full_trust,0.0,0.0,2,1.0,1.0,163.5,24.5,24.5,551.0
8.0,0.22857142857142856,8.0,4.0,16.4756958644616,0.6836409788629946,24.070868063827636,0.0,85.99676425269647,85.5,125.29999999999998,46.618489984591676,50.0,65.65,0.0,255.0,406.5,57.0,4855.5,85.29013867488445,4.0,4.0,0.0,0.0,4.5,4.5,289.0,trust_fused,0.0,0.0,2,0.5,0.5,103.5,28.0,28.0,551.0
8.0,0.22857142857142856,8.0,4.0,16.4756958644616,0.659044939616738,23.209385996361647,0.0,85.8439393939394,85.25,124.175,46.73106060606061,50.0,65.65,0.5,251.0,407.0,57.5,4859.5,84.67121212121212,3.5,4.0,0.0,0.0,4.0,4.5,319.0,source_memory,0.0,0.0,2,0.5,0.5,77.5,26.0,26.0,551.5
